@relation my_relation
@attribute attr0 real
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 real
@attribute attr11 {Y0, Y1, Y2, Y3}
@data
42.0,2.0,30.0,1055.0,986.0,5.0,195.0,183.0,26.0,28.0,1.0,'Y0'
43.0,10.0,43.0,1527.0,1527.0,36.0,322.0,322.0,36.0,42.0,1.0,'Y0'
11.0,30.0,11.0,1147.0,1147.0,90.0,161.0,161.0,10.0,10.0,1.0,'Y0'
67.0,38.0,57.0,2216.0,2100.0,152.0,422.0,401.0,66.0,55.0,1.0,'Y0'
37.0,19.0,36.0,1836.0,1825.0,63.0,468.0,465.0,35.0,29.0,1.0,'Y0'
10.0,28.0,9.0,2084.0,2043.0,69.0,508.0,504.0,6.0,8.0,1.0,'Y0'
86.0,50.0,86.0,4973.0,4973.0,193.0,695.0,695.0,84.0,85.0,1.0,'Y0'
20.0,0.0,7.0,99.0,32.0,0.0,21.0,8.0,20.0,5.0,0.0,'Y1'
81.0,32.0,67.0,1854.0,1731.0,75.0,390.0,369.0,74.0,64.0,1.0,'Y0'
19.0,41.0,17.0,1268.0,1217.0,99.0,257.0,245.0,16.0,13.0,1.0,'Y0'
3.0,0.0,2.0,47.0,33.0,0.0,3.0,2.0,3.0,0.0,0.0,'Y0'
22.0,31.0,22.0,1261.0,1261.0,77.0,198.0,198.0,19.0,17.0,1.0,'Y0'
67.0,25.0,36.0,1012.0,849.0,42.0,174.0,143.0,61.0,34.0,1.0,'Y0'
73.0,49.0,73.0,6908.0,6908.0,158.0,496.0,496.0,73.0,72.0,1.0,'Y0'
61.0,15.0,51.0,1606.0,1544.0,43.0,226.0,216.0,61.0,50.0,1.0,'Y0'
1.0,0.0,1.0,65.0,65.0,0.0,1.0,1.0,1.0,0.0,0.0,'Y0'
17.0,25.0,14.0,1040.0,933.0,70.0,139.0,125.0,16.0,13.0,1.0,'Y0'
6.0,0.0,0.0,52.0,1.0,0.0,6.0,0.0,6.0,0.0,0.0,'Y1'
52.0,32.0,43.0,3148.0,2982.0,55.0,359.0,329.0,41.0,41.0,1.0,'Y0'
1.0,0.0,1.0,43.0,43.0,0.0,1.0,1.0,1.0,0.0,0.0,'Y0'
33.0,18.0,26.0,1801.0,1668.0,65.0,182.0,165.0,31.0,25.0,1.0,'Y0'
30.0,9.0,28.0,1421.0,1380.0,42.0,242.0,231.0,30.0,28.0,1.0,'Y0'
53.0,12.0,43.0,1662.0,1562.0,82.0,227.0,217.0,52.0,42.0,1.0,'Y0'
49.0,27.0,42.0,2030.0,1961.0,66.0,261.0,254.0,46.0,41.0,1.0,'Y0'
9.0,0.0,1.0,118.0,6.0,0.0,9.0,1.0,9.0,0.0,0.0,'Y1'
21.0,0.0,5.0,335.0,121.0,0.0,21.0,5.0,21.0,0.0,0.0,'Y1'
60.0,15.0,56.0,1399.0,1339.0,31.0,215.0,206.0,60.0,52.0,1.0,'Y0'
11.0,0.0,5.0,127.0,77.0,0.0,11.0,5.0,11.0,0.0,0.0,'Y1'
16.0,1.0,4.0,214.0,108.0,3.0,16.0,4.0,16.0,0.0,0.0,'Y1'
120.0,68.0,114.0,4156.0,4115.0,161.0,729.0,721.0,119.0,112.0,1.0,'Y0'
11.0,16.0,10.0,1648.0,1624.0,26.0,165.0,162.0,10.0,9.0,1.0,'Y0'
12.0,1.0,3.0,131.0,17.0,1.0,21.0,6.0,12.0,0.0,0.0,'Y1'
20.0,16.0,16.0,1078.0,852.0,23.0,211.0,176.0,20.0,15.0,1.0,'Y0'
17.0,10.0,17.0,1128.0,1128.0,18.0,142.0,142.0,17.0,16.0,1.0,'Y0'
63.0,54.0,55.0,4491.0,4361.0,137.0,483.0,463.0,62.0,54.0,1.0,'Y0'
1.0,1.0,1.0,8.0,8.0,1.0,1.0,1.0,0.0,1.0,0.0,'Y0'
6.0,0.0,2.0,38.0,18.0,0.0,7.0,3.0,6.0,1.0,0.0,'Y1'
1.0,0.0,1.0,16.0,16.0,0.0,1.0,1.0,2.0,1.0,0.0,'Y0'
27.0,15.0,13.0,1469.0,1413.0,32.0,99.0,85.0,26.0,7.0,0.0,'Y0'
1.0,3.0,1.0,232.0,232.0,12.0,3.0,3.0,1.0,0.0,0.0,'Y0'
29.0,8.0,20.0,541.0,506.0,20.0,89.0,80.0,29.0,20.0,1.0,'Y0'
36.0,15.0,36.0,1485.0,1485.0,44.0,212.0,212.0,4.0,34.0,1.0,'Y0'
90.0,47.0,77.0,3392.0,3175.0,118.0,553.0,539.0,89.0,76.0,1.0,'Y0'
21.0,21.0,20.0,1201.0,1191.0,50.0,226.0,225.0,18.0,19.0,1.0,'Y0'
88.0,25.0,62.0,1210.0,1063.0,34.0,176.0,148.0,87.0,60.0,1.0,'Y0'
1.0,2.0,1.0,10.0,10.0,2.0,2.0,2.0,2.0,1.0,0.0,'Y0'
201.0,48.0,139.0,3652.0,2855.0,135.0,499.0,390.0,188.0,134.0,1.0,'Y0'
29.0,31.0,20.0,1101.0,1005.0,58.0,262.0,250.0,26.0,18.0,1.0,'Y0'
45.0,41.0,42.0,1564.0,1538.0,110.0,376.0,371.0,41.0,38.0,1.0,'Y0'
40.0,37.0,40.0,1353.0,1353.0,67.0,211.0,211.0,39.0,39.0,1.0,'Y0'
5.0,4.0,4.0,61.0,57.0,4.0,5.0,4.0,3.0,3.0,0.0,'Y0'
1.0,1.0,1.0,24.0,24.0,1.0,7.0,7.0,2.0,1.0,0.0,'Y0'
8.0,0.0,4.0,17.0,5.0,0.0,8.0,4.0,9.0,4.0,0.0,'Y1'
4.0,0.0,1.0,45.0,20.0,0.0,4.0,1.0,4.0,0.0,0.0,'Y1'
64.0,19.0,56.0,1371.0,1286.0,52.0,247.0,229.0,63.0,53.0,1.0,'Y0'
26.0,35.0,21.0,1079.0,1058.0,57.0,69.0,64.0,26.0,20.0,1.0,'Y0'
11.0,0.0,1.0,27.0,27.0,0.0,11.0,1.0,11.0,0.0,0.0,'Y1'
31.0,60.0,30.0,1881.0,1858.0,76.0,74.0,72.0,31.0,29.0,1.0,'Y0'
23.0,7.0,18.0,510.0,440.0,9.0,43.0,38.0,23.0,16.0,1.0,'Y0'
3.0,0.0,3.0,38.0,38.0,0.0,3.0,3.0,3.0,0.0,0.0,'Y0'
1.0,0.0,1.0,57.0,57.0,0.0,1.0,1.0,1.0,0.0,0.0,'Y0'
27.0,17.0,25.0,1032.0,1014.0,39.0,153.0,149.0,19.0,23.0,1.0,'Y0'
7.0,0.0,1.0,106.0,53.0,0.0,7.0,1.0,7.0,0.0,0.0,'Y1'
9.0,0.0,1.0,118.0,6.0,0.0,9.0,1.0,9.0,0.0,0.0,'Y1'
11.0,0.0,5.0,142.0,92.0,0.0,11.0,5.0,11.0,0.0,0.0,'Y1'
83.0,18.0,67.0,3547.0,2997.0,62.0,411.0,314.0,79.0,66.0,1.0,'Y0'
17.0,12.0,15.0,1052.0,1031.0,23.0,92.0,90.0,16.0,14.0,1.0,'Y0'
39.0,16.0,37.0,1699.0,1676.0,35.0,228.0,226.0,36.0,36.0,1.0,'Y0'
10.0,0.0,2.0,182.0,78.0,0.0,10.0,2.0,10.0,0.0,0.0,'Y1'
45.0,10.0,34.0,1404.0,1157.0,17.0,141.0,121.0,44.0,32.0,1.0,'Y0'
3.0,0.0,2.0,22.0,14.0,0.0,3.0,2.0,3.0,1.0,0.0,'Y0'
15.0,2.0,5.0,147.0,53.0,5.0,17.0,7.0,15.0,4.0,0.0,'Y1'
1.0,1.0,1.0,38.0,38.0,1.0,1.0,1.0,1.0,0.0,0.0,'Y0'
1.0,1.0,1.0,32.0,32.0,1.0,1.0,1.0,1.0,0.0,0.0,'Y0'
1.0,1.0,1.0,43.0,43.0,1.0,1.0,1.0,1.0,0.0,0.0,'Y0'
1.0,1.0,1.0,29.0,29.0,1.0,1.0,1.0,1.0,0.0,0.0,'Y0'
1.0,1.0,1.0,105.0,105.0,1.0,1.0,1.0,1.0,0.0,0.0,'Y0'
14.0,3.0,11.0,214.0,174.0,5.0,15.0,12.0,13.0,10.0,0.0,'Y0'
8.0,2.0,8.0,83.0,83.0,2.0,8.0,8.0,0.0,8.0,0.0,'Y0'
3.0,0.0,0.0,35.0,15.0,0.0,3.0,0.0,3.0,0.0,0.0,'Y1'
3.0,0.0,0.0,37.0,16.0,0.0,3.0,0.0,3.0,0.0,0.0,'Y1'
65.0,20.0,53.0,1600.0,1489.0,85.0,235.0,223.0,14.0,52.0,1.0,'Y0'
9.0,1.0,1.0,153.0,11.0,1.0,17.0,2.0,9.0,0.0,0.0,'Y1'
4.0,1.0,4.0,17.0,17.0,1.0,4.0,4.0,4.0,3.0,0.0,'Y0'
1.0,3.0,1.0,19.0,19.0,3.0,3.0,3.0,1.0,1.0,0.0,'Y0'
5.0,0.0,1.0,15.0,3.0,0.0,5.0,1.0,5.0,0.0,0.0,'Y1'
11.0,0.0,1.0,23.0,23.0,0.0,11.0,1.0,11.0,0.0,0.0,'Y1'
7.0,0.0,1.0,83.0,65.0,0.0,7.0,1.0,7.0,0.0,0.0,'Y1'
8.0,0.0,0.0,18.0,18.0,0.0,8.0,0.0,8.0,0.0,0.0,'Y1'
13.0,0.0,1.0,30.0,30.0,0.0,13.0,1.0,13.0,0.0,0.0,'Y1'
10.0,0.0,0.0,48.0,48.0,0.0,10.0,0.0,11.0,0.0,0.0,'Y1'
8.0,0.0,1.0,52.0,31.0,0.0,13.0,6.0,8.0,0.0,0.0,'Y1'
14.0,0.0,2.0,52.0,52.0,0.0,14.0,2.0,14.0,0.0,0.0,'Y1'
6.0,0.0,0.0,15.0,15.0,0.0,6.0,0.0,6.0,0.0,0.0,'Y1'
13.0,0.0,1.0,57.0,57.0,0.0,15.0,1.0,13.0,0.0,0.0,'Y1'
10.0,0.0,0.0,22.0,22.0,0.0,10.0,0.0,11.0,0.0,0.0,'Y1'
68.0,17.0,41.0,1541.0,1078.0,35.0,152.0,104.0,68.0,38.0,1.0,'Y0'
7.0,8.0,7.0,135.0,135.0,9.0,20.0,20.0,0.0,7.0,0.0,'Y0'
6.0,2.0,4.0,54.0,38.0,2.0,7.0,5.0,6.0,2.0,0.0,'Y0'
5.0,0.0,1.0,44.0,8.0,0.0,5.0,1.0,5.0,0.0,0.0,'Y1'
56.0,15.0,49.0,1099.0,1057.0,40.0,122.0,114.0,34.0,49.0,1.0,'Y0'
2.0,3.0,2.0,54.0,54.0,2.0,2.0,2.0,3.0,2.0,0.0,'Y0'
29.0,10.0,8.0,533.0,322.0,16.0,50.0,28.0,29.0,7.0,0.0,'Y0'
22.0,0.0,3.0,161.0,44.0,0.0,23.0,4.0,22.0,2.0,0.0,'Y1'
19.0,5.0,19.0,94.0,94.0,7.0,25.0,25.0,19.0,18.0,0.0,'Y0'
1.0,2.0,1.0,27.0,27.0,1.0,1.0,1.0,1.0,0.0,0.0,'Y0'
5.0,0.0,1.0,70.0,30.0,0.0,5.0,1.0,5.0,0.0,0.0,'Y1'
105.0,23.0,82.0,1747.0,1595.0,88.0,502.0,471.0,106.0,82.0,1.0,'Y0'
67.0,13.0,45.0,1692.0,1493.0,44.0,333.0,295.0,66.0,44.0,1.0,'Y0'
3.0,1.0,2.0,22.0,16.0,0.0,3.0,2.0,3.0,1.0,0.0,'Y0'
31.0,4.0,4.0,287.0,44.0,6.0,35.0,8.0,31.0,4.0,0.0,'Y1'
100.0,33.0,95.0,3545.0,3446.0,103.0,481.0,467.0,63.0,93.0,1.0,'Y0'
60.0,33.0,44.0,2091.0,1866.0,50.0,298.0,271.0,60.0,43.0,1.0,'Y0'
6.0,0.0,1.0,107.0,55.0,0.0,7.0,2.0,6.0,0.0,0.0,'Y1'
2.0,2.0,1.0,105.0,93.0,2.0,4.0,2.0,2.0,0.0,0.0,'Y0'
78.0,0.0,78.0,2200.0,2200.0,0.0,826.0,826.0,5.0,74.0,0.0,'Y0'
2.0,3.0,2.0,25.0,25.0,5.0,6.0,6.0,2.0,1.0,0.0,'Y0'
1.0,0.0,1.0,8.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,'Y0'
395.0,77.0,394.0,4130.0,4124.0,156.0,938.0,937.0,8.0,392.0,1.0,'Y0'
1.0,0.0,1.0,7.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,'Y0'
4.0,0.0,4.0,18.0,18.0,0.0,4.0,4.0,4.0,0.0,0.0,'Y0'
34.0,50.0,26.0,1042.0,972.0,57.0,124.0,116.0,34.0,23.0,1.0,'Y0'
