IDMethod,project,package,complextype,method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOPA_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,is_switch_statements
217,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.design,JRVerifier,"verifyEmptyBackground()",0.0,0.0,1.0,1.0,0.0,5.0,32.0,9.0,0.0,4.0,0.0,6.0,0.5,4.0,8.0,1.0,0.0,5.0,0.0,0.8,0.0,1.0,0.0,92.0,0.0,66.0,75.0,91.0,14.0,0.0,1.0,3277.0,3271.0,23616.0,0.0297619047619048,3.0,103.0,313.0,0.0,641.0,0.981946624803768,0.833333333333333,640.0,6.96739130434783,7.03296703296703,70.0,686.0,5.0,18923.0,1266.0,66,1571,291,17113,11938,260912,false
243,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.olap.mapping,MappingLexer,"mINT(boolean)",1.0,0.0,0.0,0.0,0.0,5.0,25.0,8.0,0.0,6.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,2.0,50.0,2.0,434.0,434.0,0.0,0.00952380952380952,2.0,1.0,21.0,0.0,123.0,0.975,0.894736842105263,123.0,5.85714285714286,5.85714285714286,14.0,84.0,3.0,1568.0,101.0,66,1571,291,17113,11938,260912,false
257,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export.ooxml,PptxRunHelper,"exportProps(String, Map, Map, Locale)",4.0,0.0,1.0,1.0,0.0,5.0,119.0,23.0,0.0,12.0,0.0,15.0,0.666666666666667,4.0,7.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,10.0,6.0,2.0,3.0,2.0,228.0,228.0,171.0,0.0,0.0,14.0,25.0,0.0,36.0,1.0,1.0,36.0,6.0,6.0,46.0,268.0,6.0,8188.0,296.0,66,1571,291,17113,11938,260912,true
258,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export.ooxml,JRXlsxExporter,"closeWorkbook(OutputStream os)",1.0,0.0,3.0,2.0,0.0,5.0,80.0,7.0,0.0,9.0,0.0,21.0,0.727272727272727,15.0,42.0,8.0,0.0,21.0,0.0,0.714285714285714,0.0,7.0,1.0,32.0,1.0,35.0,49.0,25.0,27.0,79.0,3.0,1267.0,1212.0,5099.0,0.129032258064516,2.0,98.0,318.0,0.0,94.0,0.958183990442055,0.714285714285714,87.0,2.9375,3.48,46.0,268.0,6.0,8188.0,296.0,66,1571,291,17113,11938,260912,false
261,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export,JExcelApiExporter,"getSuitablePaperSize(JasperPrint)",1.0,0.0,2.0,1.0,0.0,5.0,67.0,21.0,0.0,9.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.5,0.0,8.0,4.0,47.0,1.0,50.0,39.0,39.0,20.0,79.0,3.0,1913.0,1812.0,4405.0,0.154654654654655,1.0,82.0,279.0,0.0,240.0,0.959782608695652,0.75,227.0,5.1063829787234,5.82051282051282,81.0,516.0,24.0,21006.0,599.0,66,1571,291,17113,11938,260912,true
262,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export,JRXmlExporter,"exportProperties(JRPropertiesHolder)",1.0,0.0,3.0,1.0,0.0,5.0,22.0,6.0,0.0,5.0,0.0,10.0,0.25,3.0,12.0,1.0,0.0,7.0,0.0,0.428571428571429,0.0,2.0,1.0,31.0,1.0,158.0,44.0,29.0,22.0,46.0,2.0,1068.0,1050.0,8825.0,0.391625615763547,1.0,79.0,301.0,1.0,117.0,0.951515151515152,0.75,115.0,3.7741935483871,3.96551724137931,81.0,516.0,24.0,21006.0,599.0,66,1571,291,17113,11938,260912,false
271,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export,JRRtfExporter,"exportElements(Collection)",1.0,0.0,0.0,0.0,0.0,5.0,30.0,13.0,0.0,3.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35.0,0.0,50.0,35.0,34.0,16.0,47.0,2.0,1533.0,1524.0,4783.0,0.358333333333333,1.0,72.0,214.0,0.0,186.0,0.948529411764706,0.666666666666667,185.0,5.31428571428571,5.44117647058824,81.0,516.0,24.0,21006.0,599.0,66,1571,291,17113,11938,260912,true
278,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export,JRGridLayout,"isOverlap(int, int, int, int)",4.0,0.0,1.0,1.0,0.0,5.0,24.0,5.0,0.0,7.0,0.0,10.0,0.666666666666667,2.0,4.0,2.0,0.0,3.0,0.0,0.666666666666667,0.0,8.0,1.0,27.0,0.0,21.0,18.0,19.0,16.0,0.0,1.0,925.0,683.0,3010.0,0.274509803921569,0.0,18.0,93.0,0.0,139.0,0.913461538461539,0.6,91.0,5.14814814814815,4.78947368421053,81.0,516.0,24.0,21006.0,599.0,66,1571,291,17113,11938,260912,false
279,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export,JRGridLayout,"setGridElement(ElementWrapper,int,int,int,int)",5.0,0.0,8.0,3.0,0.0,5.0,68.0,13.0,0.0,13.0,0.0,27.0,0.333333333333333,8.0,18.0,4.0,0.0,14.0,0.0,0.571428571428571,0.0,8.0,1.0,27.0,0.0,21.0,18.0,19.0,16.0,0.0,1.0,925.0,683.0,3010.0,0.274509803921569,0.0,18.0,93.0,0.0,139.0,0.913461538461539,0.6,91.0,5.14814814814815,4.78947368421053,81.0,516.0,24.0,21006.0,599.0,66,1571,291,17113,11938,260912,false
288,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.components.table.fill,FillTable.FillColumnEvaluator,"visitColumnGroup(ColumnGroup)",1.0,0.0,1.0,1.0,0.0,5.0,43.0,6.0,0.0,9.0,0.0,11.0,0.5,5.0,10.0,1.0,0.0,6.0,0.0,0.833333333333333,1.0,0.0,0.0,3.0,0.0,1.0,5.0,3.0,1.0,0.0,1.0,66.0,66.0,38.0,1.0,0.0,7.0,10.0,0.0,10.0,0.5,1.0,10.0,3.33333333333333,3.33333333333333,24.0,157.0,1.0,2316.0,198.0,66,1571,291,17113,11938,260912,false
290,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.crosstabs.design,JRDesignCrosstab,"inheritCellSize(int, int)",2.0,0.0,4.0,3.0,0.0,5.0,51.0,11.0,0.0,7.0,0.0,16.0,0.428571428571429,3.0,4.0,3.0,0.0,7.0,0.0,0.428571428571429,1.0,40.0,1.0,97.0,2.0,42.0,32.0,57.0,40.0,61.0,3.0,1622.0,1230.0,8741.0,0.104240766073871,13.0,55.0,247.0,0.0,229.0,0.969791666666667,0.376623376623377,182.0,2.36082474226804,3.19298245614035,12.0,88.0,0.0,2918.0,201.0,66,1571,291,17113,11938,260912,true
34,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.fill,JRFillCrosstab.CrosstabFiller,"computeBreakableHeaders(HeaderCell[][],JRFillCrosstabGroup[],int[],boolean,boolean)",5.0,0.0,4.0,3.0,0.0,7.0,42.0,14.0,0.0,13.0,0.0,17.0,0.0,3.0,2.0,0.0,0.0,5.0,0.0,0.6,0.0,5.0,0.0,44.0,0.0,46.0,17.0,39.0,24.0,0.0,1.0,1239.0,1152.0,2852.0,0.193675889328063,0.0,24.0,97.0,0.0,229.0,0.887596899224806,0.0,213.0,5.20454545454545,5.46153846153846,184.0,2134.0,16.0,45362.0,3035.0,66,1571,291,17113,11938,260912,false
37,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.fill,JRHorizontalFiller,"fillGroupFooters(boolean)",1.0,0.0,11.0,3.0,0.0,9.0,116.0,21.0,0.0,6.0,0.0,21.0,0.266666666666667,2.0,9.0,4.0,0.0,4.0,0.0,0.5,0.0,3.0,0.0,43.0,0.0,33.0,15.0,40.0,5.0,85.0,2.0,2272.0,2205.0,11359.0,0.0,0.0,62.0,289.0,0.0,297.0,0.933333333333333,0.0,286.0,6.90697674418605,7.15,184.0,2134.0,16.0,45362.0,3035.0,66,1571,291,17113,11938,260912,true
39,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.fill,TextMeasurer,"appendTruncateSuffix(AttributedCharacterIterator)",1.0,0.0,0.0,0.0,0.0,6.0,97.0,11.0,0.0,14.0,0.0,37.0,0.666666666666667,1.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,13.0,0.0,16.0,10.0,9.0,18.0,0.0,1.0,637.0,577.0,566.0,0.363636363636364,0.0,15.0,36.0,1.0,56.0,0.902777777777778,1.0,46.0,4.30769230769231,5.11111111111111,184.0,2134.0,16.0,45362.0,3035.0,66,1571,291,17113,11938,260912,true
41,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.fill,JRFillElementGroup,"getStretchHeightDiff()",0.0,1.0,0.0,0.0,1.0,6.0,59.0,12.0,0.0,5.0,0.0,10.0,0.6,3.0,6.0,3.0,0.0,5.0,0.0,0.6,2.0,1.0,0.0,13.0,1.0,0.0,6.0,12.0,6.0,0.0,1.0,279.0,215.0,263.0,0.0444444444444444,0.0,10.0,26.0,1.0,43.0,0.944444444444444,1.0,31.0,3.30769230769231,2.58333333333333,184.0,2134.0,16.0,45362.0,3035.0,66,1571,291,17113,11938,260912,true
48,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.util,JRApiWriter,"writeCrosstab(JRCrosstab,String)",2.0,1.0,3.0,3.0,1.0,6.0,87.0,14.0,0.0,12.0,0.0,15.0,0.0,3.0,24.0,0.0,0.0,13.0,0.0,0.230769230769231,0.0,0.0,0.0,143.0,0.0,61.0,112.0,143.0,8.0,0.0,1.0,3849.0,3849.0,129220.0,0.0037400654511454,0.0,143.0,685.0,0.0,478.0,0.985915492957746,1.0,478.0,3.34265734265734,3.34265734265734,96.0,756.0,11.0,17329.0,801.0,66,1571,291,17113,11938,260912,false
49,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.util,JRStyledTextParser,"parseStyle(JRStyledText,Node)",2.0,0.0,4.0,2.0,0.0,6.0,282.0,46.0,0.0,16.0,0.0,44.0,0.851851851851852,3.0,12.0,23.0,0.0,7.0,0.0,0.428571428571429,1.0,0.0,0.0,19.0,0.0,8.0,8.0,19.0,36.0,0.0,1.0,815.0,815.0,322.0,0.0549450549450549,0.0,9.0,36.0,0.0,115.0,0.969135802469136,1.0,115.0,6.05263157894737,6.05263157894737,96.0,756.0,11.0,17329.0,801.0,66,1571,291,17113,11938,260912,true
65,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.design,JRJdtCompiler,"getNameEnvironment(JRCompilationUnit[])",1.0,0.0,0.0,0.0,0.0,6.0,199.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,13.0,1.0,4.0,9.0,11.0,8.0,18.0,3.0,560.0,486.0,199.0,0.0181818181818182,0.0,23.0,72.0,0.0,38.0,1.05208333333333,1.0,26.0,2.92307692307692,2.36363636363636,70.0,686.0,5.0,18923.0,1266.0,66,1571,291,17113,11938,260912,false
82,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export,JExcelApiExporter,"getLoadedFont(JRFont,int,Locale)",3.0,0.0,1.0,1.0,0.0,6.0,85.0,23.0,0.0,12.0,0.0,17.0,0.75,5.0,18.0,3.0,0.0,10.0,0.0,0.5,0.0,8.0,4.0,47.0,1.0,50.0,39.0,39.0,20.0,79.0,3.0,1913.0,1812.0,4405.0,0.154654654654655,1.0,82.0,279.0,0.0,240.0,0.959782608695652,0.75,227.0,5.1063829787234,5.82051282051282,81.0,516.0,24.0,21006.0,599.0,66,1571,291,17113,11938,260912,true
84,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export,JRXmlExporter,"exportReportToFile()",0.0,0.0,0.0,0.0,0.0,7.0,77.0,12.0,0.0,9.0,0.0,15.0,1.0,1.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,31.0,1.0,158.0,44.0,29.0,22.0,46.0,2.0,1068.0,1050.0,8825.0,0.391625615763547,1.0,79.0,301.0,1.0,117.0,0.951515151515152,0.75,115.0,3.7741935483871,3.96551724137931,81.0,516.0,24.0,21006.0,599.0,66,1571,291,17113,11938,260912,false
88,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export,JRXhtmlExporter,"exportImage(JRPrintImage)",1.0,0.0,11.0,5.0,0.0,6.0,360.0,45.0,0.0,28.0,0.0,47.0,0.352941176470588,16.0,60.0,6.0,0.0,31.0,0.0,0.516129032258065,0.0,3.0,1.0,42.0,1.0,73.0,46.0,39.0,39.0,46.0,2.0,2014.0,1979.0,7535.0,0.186344238975818,2.0,83.0,235.0,0.0,256.0,0.972482801751094,0.75,252.0,6.0952380952381,6.46153846153846,81.0,516.0,24.0,21006.0,599.0,66,1571,291,17113,11938,260912,true
95,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export,JRPdfExporter,"exportReport()",0.0,3.0,30.0,2.0,5.0,6.0,167.0,10.0,0.0,5.0,0.0,57.0,0.392156862745098,3.0,16.0,20.0,0.0,4.0,0.0,0.75,0.0,5.0,5.0,35.0,0.0,96.0,49.0,30.0,33.0,47.0,2.0,2656.0,2459.0,9148.0,0.258064516129032,3.0,84.0,275.0,0.0,262.0,0.961675579322638,0.4,231.0,7.48571428571429,7.7,81.0,516.0,24.0,21006.0,599.0,66,1571,291,17113,11938,260912,true
101,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export,JRHtmlExporter,"exportReportToWriter()",0.0,0.0,1.0,1.0,0.0,6.0,87.0,13.0,0.0,2.0,0.0,19.0,0.933333333333333,2.0,2.0,14.0,0.0,2.0,0.0,1.0,0.0,3.0,4.0,43.0,1.0,94.0,53.0,40.0,48.0,46.0,2.0,2197.0,2177.0,7741.0,0.230769230769231,4.0,88.0,260.0,0.0,281.0,0.96577380952381,0.642857142857143,278.0,6.53488372093023,6.95,81.0,516.0,24.0,21006.0,599.0,66,1571,291,17113,11938,260912,true
103,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export,JRHtmlExporter,"getHyperlinkTarget(JRPrintHyperlink)",1.0,0.0,8.0,3.0,0.0,6.0,59.0,12.0,0.0,7.0,0.0,16.0,0.111111111111111,5.0,10.0,1.0,0.0,8.0,0.0,0.625,0.0,3.0,4.0,43.0,1.0,94.0,53.0,40.0,48.0,46.0,2.0,2197.0,2177.0,7741.0,0.230769230769231,4.0,88.0,260.0,0.0,281.0,0.96577380952381,0.642857142857143,278.0,6.53488372093023,6.95,81.0,516.0,24.0,21006.0,599.0,66,1571,291,17113,11938,260912,true
106,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export,JRXlsAbstractExporter,"exportReport()",0.0,3.0,5.0,1.0,3.0,6.0,79.0,9.0,0.0,4.0,0.0,14.0,0.5,1.0,10.0,5.0,0.0,2.0,0.0,0.5,0.0,5.0,1.0,34.0,?,61.0,15.0,29.0,25.0,?,2.0,857.0,826.0,2298.0,0.0170454545454545,0.0,38.0,78.0,3.0,119.0,0.985454545454546,?,110.0,3.5,3.79310344827586,81.0,516.0,24.0,21006.0,599.0,66,1571,291,17113,11938,260912,true
109,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export,JRCsvExporter,"exportReport()",0.0,1.0,14.0,3.0,1.0,7.0,140.0,16.0,0.0,6.0,0.0,30.0,0.416666666666667,3.0,11.0,10.0,0.0,4.0,0.0,0.75,0.0,0.0,0.0,6.0,1.0,24.0,11.0,6.0,6.0,46.0,2.0,364.0,364.0,177.0,0.333333333333333,0.0,45.0,128.0,0.0,45.0,0.733333333333333,1.0,45.0,7.5,7.5,81.0,516.0,24.0,21006.0,599.0,66,1571,291,17113,11938,260912,true
114,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.engine.export.xmlss,JRXmlssExporter,"exportReport()",0.0,0.0,9.0,2.0,0.0,7.0,92.0,10.0,0.0,6.0,0.0,26.0,0.55,3.0,12.0,11.0,0.0,5.0,0.0,0.6,0.0,2.0,0.0,25.0,0.0,62.0,26.0,23.0,50.0,47.0,2.0,1183.0,1163.0,2598.0,0.186147186147186,2.0,58.0,196.0,0.0,139.0,0.975833333333333,0.6,137.0,5.56,5.95652173913043,10.0,75.0,0.0,2515.0,81.0,66,1571,291,17113,11938,260912,true
117,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.crosstabs.design,JRDesignCrosstab,"inheritCells()",0.0,0.0,0.0,0.0,0.0,6.0,33.0,9.0,0.0,3.0,0.0,6.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,40.0,1.0,97.0,2.0,42.0,32.0,57.0,40.0,61.0,3.0,1622.0,1230.0,8741.0,0.104240766073871,13.0,55.0,247.0,0.0,229.0,0.969791666666667,0.376623376623377,182.0,2.36082474226804,3.19298245614035,12.0,88.0,0.0,2918.0,201.0,66,1571,291,17113,11938,260912,false
120,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.j2ee.servlets,XmlServlet,"service(HttpServletRequest,HttpServletResponse)",2.0,0.0,5.0,2.0,0.0,7.0,162.0,18.0,0.0,15.0,0.0,26.0,0.444444444444444,3.0,13.0,4.0,0.0,7.0,0.0,0.428571428571429,0.0,0.0,0.0,2.0,0.0,6.0,3.0,2.0,4.0,25.0,4.0,187.0,187.0,45.0,0.0,3.0,8.0,11.0,1.0,19.0,1.25,0.4,19.0,9.5,9.5,10.0,12.0,0.0,848.0,12.0,66,1571,291,17113,11938,260912,true
146,/mnt/qualitas/qualitas_corpus_compile/jasperreports-3.7.3,net.sf.jasperreports.view,JRViewer,"createHyperlinks(List,int,int)",3.0,0.0,1.0,1.0,0.0,6.0,85.0,20.0,0.0,17.0,0.0,22.0,0.8,8.0,26.0,4.0,0.0,13.0,0.0,0.615384615384615,1.0,7.0,24.0,74.0,0.0,22.0,45.0,67.0,66.0,522.0,5.0,2120.0,1979.0,4383.0,0.208080808080808,2.0,28.0,140.0,1.0,221.0,0.969074304690743,0.791666666666667,202.0,2.98648648648649,3.01492537313433,32.0,115.0,1.0,2904.0,124.0,66,1571,291,17113,11938,260912,true
20503,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date.daycount.defaultimpl,Business252,"Business252(HolidayCalendar)",1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,4.0,2.0,71.0,52.0,20.0,0.5,0.0,4.0,15.0,0.0,8.0,0.75,0.6,6.0,1.6,2.0,11.0,35.0,0.0,809.0,37.0,11,58,2,541,326,7842,false
20517,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date.daycount.defaultimpl,DaycountCalculatorFactoryImpl,"getEU30360()",0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,10.0,11.0,0.0,14.0,2.0,85.0,85.0,150.0,0.0,0.0,13.0,37.0,0.0,11.0,0.0,1.0,11.0,1.0,1.0,11.0,35.0,0.0,809.0,37.0,11,58,2,541,326,7842,false
20577,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date.accrual,AccrualSchedule,"containsAll(Collection)",1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,8.0,8.0,26.0,2.0,0.0,1.0,306.0,297.0,856.0,0.0,0.0,8.0,44.0,0.0,36.0,1.03846153846154,0.962962962962963,35.0,1.33333333333333,1.34615384615385,7.0,57.0,1.0,889.0,86.0,11,58,2,541,326,7842,false
20642,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date.accrual,Payment,"setPaymentCalendar(Calendar)",1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,1.0,0.0,0.0,6.0,3.0,0.0,1.0,112.0,58.0,0.0,0.194444444444444,0.0,1.0,12.0,0.0,12.0,0.848484848484848,0.5,6.0,1.0,1.0,7.0,57.0,1.0,889.0,86.0,11,58,2,541,326,7842,false
20651,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date,TypedScheduleGenerator,"generateSchedule(Calendar, Tenor, Frequency, StubType)",4.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,5.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,17.0,0.0,14.0,7.0,15.0,2.0,0.0,1.0,203.0,193.0,306.0,0.0,0.0,7.0,31.0,0.0,36.0,1.0625,0.818181818181818,34.0,2.11764705882353,2.26666666666667,10.0,60.0,1.0,1447.0,77.0,11,58,2,541,326,7842,false
20655,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date,TypedScheduleGenerator,"createPeriod(Calendar, Calendar, Calendar, Calendar, boolean)",5.0,1.0,4.0,1.0,1.0,2.0,20.0,3.0,0.0,7.0,0.0,15.0,0.0,3.0,4.0,0.0,0.0,6.0,0.0,0.5,0.0,2.0,0.0,17.0,0.0,14.0,7.0,15.0,2.0,0.0,1.0,203.0,193.0,306.0,0.0,0.0,7.0,31.0,0.0,36.0,1.0625,0.818181818181818,34.0,2.11764705882353,2.26666666666667,10.0,60.0,1.0,1447.0,77.0,11,58,2,541,326,7842,false
20671,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date,Tenor,"getCalendarUnit()",0.0,2.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,4.0,8.0,0.0,1.0,151.0,113.0,0.0,0.6,0.0,0.0,8.0,0.0,16.0,0.928571428571429,0.428571428571429,12.0,2.0,3.0,10.0,60.0,1.0,1447.0,77.0,11,58,2,541,326,7842,false
20734,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date.accrual.impl,FixedAccrualPeriod,"isPaymentPossible()",0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,0.0,5.0,1.0,31.0,3.0,59.0,41.0,18.0,0.3,0.0,8.0,43.0,0.0,8.0,0.666666666666667,0.714285714285714,6.0,1.14285714285714,1.2,4.0,18.0,0.0,306.0,34.0,11,58,2,541,326,7842,false
20763,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.common,Iso4217Currency,"Iso4217Currency(String, Iso3166Country[], String)",3.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,3.0,0.0,6.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,9.0,4.0,10.0,?,372.0,336.0,0.0,0.0,0.0,1.0,13.0,0.0,13.0,1.0,0.2,9.0,1.0,1.0,4.0,34.0,0.0,1229.0,42.0,11,58,2,541,326,7842,false
20774,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.common,CSVFileFormatTokenizer,"split(String)",1.0,0.0,0.0,0.0,0.0,3.0,25.0,4.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,22.0,4.0,0.0,1.0,307.0,295.0,0.0,0.128571428571429,0.0,0.0,23.0,0.0,33.0,0.875,0.954545454545455,32.0,1.43478260869565,1.45454545454545,4.0,34.0,0.0,1229.0,42.0,11,58,2,541,326,7842,false
20775,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.common,CSVFileFormatTokenizer,"hasNext()",0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,22.0,4.0,0.0,1.0,307.0,295.0,0.0,0.128571428571429,0.0,0.0,23.0,0.0,33.0,0.875,0.954545454545455,32.0,1.43478260869565,1.45454545454545,4.0,34.0,0.0,1229.0,42.0,11,58,2,541,326,7842,false
20778,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.common,CSVFileFormatTokenizer,"getTokens()",0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,22.0,4.0,0.0,1.0,307.0,295.0,0.0,0.128571428571429,0.0,0.0,23.0,0.0,33.0,0.875,0.954545454545455,32.0,1.43478260869565,1.45454545454545,4.0,34.0,0.0,1229.0,42.0,11,58,2,541,326,7842,false
20796,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date.holiday.financialcalendarimpl,HolidayFileEntry,"HolidayFileEntry(String, InfoFile)",2.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0,1.0,2.0,6.0,4.0,0.0,1.0,151.0,75.0,24.0,0.0727272727272727,0.0,2.0,16.0,0.0,17.0,0.923076923076923,0.428571428571429,9.0,1.21428571428571,1.5,6.0,33.0,0.0,790.0,64.0,11,58,2,541,326,7842,false
